EVENT_TIME,SL_DEPTH,DSL_VAL,FLOW_VAL,G1_ELEVATION,USL_VAL,hu,hd,Cd,Q_MI,SL_DEPTH_COR,Vg,Vu,Area_ch,Vc,V,h,G1_ANGLE,Vg_hor,Cc,Vg_d,DDSL_VAL,HL,WS
2021-03-07 00:20:00,0.494,8.9173955,286.79027692307693,8.635333333333334,9.227989749999999,0.5926564166666655,0.28206216666666606,0.6556237478282126,3.310678336709433,8.992375166666667,1.4904397132982683,0.7117856209054464,7.784372999999997,0.42529800880680235,0.2003920132966872,-0.07497966666666755,24.01681266560331,1.361406485403026,0.6865910048247084,2.170782464123293,9.238363753846153,-0.10403174615384642,-2.734798794790915e-05
2021-03-07 00:35:00,0.499,8.9225449,287.7078833333333,8.612,9.21241845,0.6004184499999994,0.3105449,0.6438399814128494,3.3152540203033247,8.997375166666668,1.4732050508173051,0.7218264855926537,7.8152694,0.4242021420660591,0.199421277988709,-0.07483026666666781,23.208120796528405,1.3539925538561577,0.6845119383516792,2.152197745980614,9.239524130769231,-0.10802076923076881,-2.8396627032273608e-05
2021-03-07 00:55:00,0.503,8.9225576,292.010909090909,8.578,9.1934199,0.6154199000000009,0.3445575999999999,0.6304718687095228,3.368843537234179,9.001375166666667,1.4605274491113174,0.7450454494984236,7.815345599999995,0.431054966684286,0.20128714394069125,-0.07881756666666817,22.03838421405058,1.3538106313578333,0.6812404072140728,2.1439236922016014,9.2410713,-0.10648629999999953,-2.799324395373279e-05
2021-03-07 01:20:00,0.507,8.9275957,295.5002416666666,8.548833333333333,9.1728701,0.6240367666666682,0.37876236666666685,0.6141045206286855,3.350544466481637,9.005375166666667,1.4325362675832676,0.7538391435583027,7.845574199999996,0.4270617269137087,0.1980892351937771,-0.07777946666666757,21.042602380996826,1.3370057290204975,0.6781930409055698,2.112283938612002,9.243614749999999,-0.10898095000000046,-2.864904048370149e-05
2021-03-07 01:50:00,0.511,8.9313203,297.95639,8.531749999999999,9.168199699999999,0.6364497,0.3995703000000006,0.6062375121249628,3.4068009488173163,9.009375166666667,1.4281804742301156,0.7695269769960285,7.867921799999996,0.4329988318919639,0.19951552469069,-0.07805486666666717,20.46245794111107,1.3380643649254829,0.6762996395645487,2.111756964930046,9.246390577272727,-0.10992972272727214,-2.889845497562359e-05
2021-03-07 02:25:00,0.519,8.9458965,306.61911999999995,8.495,9.1575313,0.6625313000000013,0.4508965000000007,0.5843457430882927,3.487685453653611,9.017375166666667,1.404530994040321,0.7949772427032301,7.955378999999999,0.4384059456694158,0.19855364523141691,-0.07147866666666758,19.221734311633043,1.3262305703467538,0.6719401632928814,2.090262006600909,9.248017218181818,-0.12287928181818158,-3.230265032023701e-05
2021-03-07 04:40:00,0.543,8.9771387,308.9202166666667,8.566,9.2144487,0.6484486999999994,0.41113869999999864,0.6038094919214861,3.489564229588681,9.041375166666667,1.4358067486820787,0.758522144048969,8.142832199999996,0.4285442882623423,0.19635710184854183,-0.06423646666666727,21.627862429223825,1.334722163411414,0.6800143286220042,2.1114360216374095,9.26748222,-0.13465647999999958,-3.5398654048370024e-05
2021-03-07 05:10:00,0.54,8.9721123,303.5685,8.63,9.2549297,0.6249296999999991,0.34211229999999837,0.6345020343944423,3.469265931429603,9.038375166666668,1.4811766054893483,0.7300335749809125,8.112673799999994,0.4276353292338224,0.19874589623413783,-0.06626286666666914,23.831526878313014,1.3548877546889642,0.6861273498762661,2.1587488179220067,9.270865393333333,-0.12624690666666644,-3.3187935506484344e-05
2021-03-07 05:35:00,0.533,8.963379566666667,297.25284999999997,8.687,9.2837319,0.5967319,0.27637956666666774,0.6590594628395146,3.3624149433126957,9.031375166666667,1.5033928137412356,0.6918334084247901,8.060277400000002,0.41715871259129306,0.19562059676518304,-0.06799559999999971,25.826087074693802,1.3532347138175254,0.6907427555084108,2.17648726932313,9.269169126666666,-0.11921044000000086,-3.1338180862250487e-05
2021-03-07 05:40:00,0.533,8.9597617,296.6203428571429,8.698,9.2913594,0.5933593999999989,0.2617616999999992,0.6647593377859206,3.362784302643801,9.031375166666667,1.5121037916832862,0.6878633285971019,8.038570199999997,0.41833114832334267,0.19612885813463984,-0.07161346666666724,26.214807861889426,1.356575198390441,0.6915500568290699,2.1865427914454387,9.268829873333333,-0.11593182666666663,-3.0476295127935495e-05
2021-03-07 05:45:00,0.53,8.9547617,297.11876,8.706,9.2965088,0.5905088000000003,0.24876170000000108,0.6696823248045379,3.3633047628531934,9.028375166666667,1.5196384237128988,0.6852644762834706,8.008570200000003,0.41996319928034,0.1967943159304517,-0.07361346666666613,26.498330473000152,1.3599963998110065,0.692120928892039,2.195625591246845,9.26849062,-0.11127108000000091,-2.9251072555205288e-05
2021-03-07 06:05:00,0.524,8.9497383,292.72995000000003,8.736,9.3120918,0.5760917999999986,0.21373829999999927,0.6812157643020044,3.2967047562087886,9.022375166666667,1.5268233000250693,0.663795808858964,7.978429799999999,0.4132022012913856,0.1937769695570488,-0.07263686666666658,27.567886264447907,1.3534725355517694,0.6941428685003919,2.1995807625648855,9.267133606666667,-0.10760469333333339,-2.8287248510340007e-05
2021-03-07 14:20:00,0.504,8.9238936,288.68956999999995,8.711500000000001,9.2871572,0.5756571999999984,0.21239359999999863,0.6816611023016904,3.295127689595807,9.002375166666667,1.5272450473701742,0.6762025451099144,7.823361599999997,0.42119076914402226,0.19787199721856497,-0.07848156666666739,26.69365827593058,1.364472973502655,0.6925055649209859,2.205390288155202,9.254913977777777,-0.09397962222222239,-2.4705473770300313e-05
2021-03-07 19:30:00,0.495,8.9289189,257.8487,8.812,9.3278789,0.5158789000000006,0.11691889999999994,0.7078398983944256,2.902782598906336,8.993375166666667,1.5012988904937343,0.5775975893118529,7.853513399999995,0.3696157950028248,0.17543851306020003,-0.06445626666666726,30.32619457444634,1.2958683560311155,0.6984718608304156,2.149404972032567,9.267750171428572,-0.08616872857142716,-2.265213684842985e-05
